VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	11:04:57	01/10/2014

USER	

START COMMENT

END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/10/2014	11:05:05.6	     0.600	     1.070
01/10/2014	11:05:06.1	     0.600	     1.077
01/10/2014	11:05:06.6	     0.600	     1.076
01/10/2014	11:05:07.1	     0.600	     1.077
01/10/2014	11:05:07.6	     0.600	     1.075
01/10/2014	11:05:08.1	     0.600	     1.076
01/10/2014	11:05:08.6	     0.600	     1.075
01/10/2014	11:05:09.1	     0.600	     1.075
01/10/2014	11:05:09.6	     0.600	     1.077
01/10/2014	11:05:10.1	     0.600	     1.076
01/10/2014	11:05:10.6	     0.600	     1.076
01/10/2014	11:05:11.1	     0.600	     1.076
01/10/2014	11:05:11.6	     0.600	     1.077
01/10/2014	11:05:12.1	     0.600	     1.034
01/10/2014	11:05:12.6	     0.600	     0.899
01/10/2014	11:05:13.1	     0.599	     0.704
01/10/2014	11:05:13.6	     0.599	     0.707
01/10/2014	11:05:14.1	     0.600	     0.861
01/10/2014	11:05:14.6	     0.600	     0.901
01/10/2014	11:05:15.1	     0.600	     0.914
01/10/2014	11:05:15.6	     0.599	     0.927
01/10/2014	11:05:16.1	     0.600	     0.943
01/10/2014	11:05:16.6	     0.600	     0.933
01/10/2014	11:05:17.1	     0.599	     0.940
01/10/2014	11:05:17.6	     0.599	     0.931
01/10/2014	11:05:18.1	     0.600	     0.920
01/10/2014	11:05:18.6	     0.600	     0.903
01/10/2014	11:05:19.1	     0.600	     0.898
01/10/2014	11:05:19.6	     0.600	     0.904
01/10/2014	11:05:20.1	     0.600	     0.936
01/10/2014	11:05:20.6	     0.600	     0.915
01/10/2014	11:05:21.1	     0.599	     0.925
01/10/2014	11:05:21.6	     0.599	     0.942
01/10/2014	11:05:22.1	     0.599	     0.928
01/10/2014	11:05:22.6	     0.599	     0.931
01/10/2014	11:05:23.1	     0.599	     0.975
01/10/2014	11:05:23.6	     0.599	     0.954
01/10/2014	11:05:24.1	     0.599	     0.964
01/10/2014	11:05:24.6	     0.599	     0.974
01/10/2014	11:05:25.1	     0.599	     0.967
01/10/2014	11:05:25.6	     0.599	     0.954
01/10/2014	11:05:26.1	     0.599	     0.920
01/10/2014	11:05:26.6	     0.599	     0.932
01/10/2014	11:05:27.1	     0.599	     0.907
01/10/2014	11:05:27.6	     0.599	     0.920
01/10/2014	11:05:28.1	     0.599	     0.932
01/10/2014	11:05:28.6	     0.599	     0.921
01/10/2014	11:05:29.1	     0.599	     0.943
01/10/2014	11:05:29.6	     0.598	     0.940
01/10/2014	11:05:30.1	     0.598	     0.920
01/10/2014	11:05:30.6	     0.598	     0.948
01/10/2014	11:05:31.1	     0.598	     0.958
01/10/2014	11:05:31.6	     0.598	     0.936
01/10/2014	11:05:32.1	     0.598	     0.939
01/10/2014	11:05:32.6	     0.598	     0.940
01/10/2014	11:05:33.1	     0.598	     0.937
01/10/2014	11:05:33.6	     0.598	     0.928
01/10/2014	11:05:34.1	     0.598	     0.927
01/10/2014	11:05:34.6	     0.598	     0.929
01/10/2014	11:05:35.1	     0.598	     0.974
01/10/2014	11:05:35.6	     0.598	     0.977
01/10/2014	11:05:36.1	     0.598	     0.951
01/10/2014	11:05:36.6	     0.598	     0.978
01/10/2014	11:05:37.1	     0.597	     0.958
01/10/2014	11:05:37.6	     0.597	     0.984
01/10/2014	11:05:38.1	     0.597	     0.970
01/10/2014	11:05:38.6	     0.597	     0.971
01/10/2014	11:05:39.1	     0.597	     0.972
01/10/2014	11:05:39.6	     0.597	     0.966
01/10/2014	11:05:40.1	     0.597	     0.986
01/10/2014	11:05:40.6	     0.597	     0.967
01/10/2014	11:05:41.1	     0.597	     0.967
01/10/2014	11:05:41.6	     0.597	     0.966
01/10/2014	11:05:42.1	     0.597	     0.971
01/10/2014	11:05:42.6	     0.596	     0.986
01/10/2014	11:05:43.1	     0.596	     0.984
01/10/2014	11:05:43.6	     0.596	     0.984
01/10/2014	11:05:44.1	     0.596	     0.982
01/10/2014	11:05:44.6	     0.596	     0.998
01/10/2014	11:05:45.1	     0.596	     0.982
01/10/2014	11:05:45.6	     0.596	     0.976
01/10/2014	11:05:46.1	     0.596	     0.984
01/10/2014	11:05:46.6	     0.596	     0.981
01/10/2014	11:05:47.1	     0.596	     0.973
01/10/2014	11:05:47.6	     0.596	     0.977
01/10/2014	11:05:48.1	     0.596	     0.988
01/10/2014	11:05:48.6	     0.596	     0.978
01/10/2014	11:05:49.1	     0.596	     0.989
01/10/2014	11:05:49.6	     0.596	     0.985
01/10/2014	11:05:50.1	     0.596	     0.989
01/10/2014	11:05:50.6	     0.595	     0.981
01/10/2014	11:05:51.1	     0.595	     0.985
01/10/2014	11:05:51.6	     0.595	     0.984
01/10/2014	11:05:52.1	     0.595	     0.987
01/10/2014	11:05:52.6	     0.595	     0.986
01/10/2014	11:05:53.1	     0.595	     1.006
01/10/2014	11:05:53.6	     0.595	     0.985
01/10/2014	11:05:54.1	     0.595	     0.979
01/10/2014	11:05:54.6	     0.595	     0.991
01/10/2014	11:05:55.1	     0.595	     0.988
01/10/2014	11:05:55.6	     0.595	     0.990
01/10/2014	11:05:56.1	     0.595	     0.992
01/10/2014	11:05:56.6	     0.595	     0.981
01/10/2014	11:05:57.1	     0.595	     0.988
01/10/2014	11:05:57.6	     0.595	     0.980
01/10/2014	11:05:58.1	     0.595	     0.986
01/10/2014	11:05:58.6	     0.595	     0.988
01/10/2014	11:05:59.1	     0.594	     0.977
01/10/2014	11:05:59.6	     0.594	     0.974
01/10/2014	11:06:00.1	     0.594	     0.976
01/10/2014	11:06:00.6	     0.594	     0.980
01/10/2014	11:06:01.1	     0.594	     0.980
01/10/2014	11:06:01.6	     0.594	     0.981
01/10/2014	11:06:02.1	     0.594	     0.983
01/10/2014	11:06:02.6	     0.594	     0.984
01/10/2014	11:06:03.1	     0.594	     0.989
01/10/2014	11:06:03.6	     0.594	     0.990
01/10/2014	11:06:04.1	     0.594	     0.988
01/10/2014	11:06:04.6	     0.594	     0.981
01/10/2014	11:06:05.1	     0.594	     0.978
01/10/2014	11:06:05.6	     0.594	     0.983
01/10/2014	11:06:06.1	     0.594	     0.984
01/10/2014	11:06:06.6	     0.594	     0.984
01/10/2014	11:06:07.1	     0.594	     0.993
01/10/2014	11:06:07.6	     0.594	     0.994
01/10/2014	11:06:08.1	     0.594	     0.992
01/10/2014	11:06:08.6	     0.594	     0.994
01/10/2014	11:06:09.1	     0.594	     0.994
01/10/2014	11:06:09.6	     0.594	     1.004
01/10/2014	11:06:10.1	     0.594	     1.004
01/10/2014	11:06:10.6	     0.594	     1.007
01/10/2014	11:06:11.1	     0.594	     1.002
01/10/2014	11:06:11.6	     0.594	     1.002
01/10/2014	11:06:12.1	     0.594	     1.001
01/10/2014	11:06:12.6	     0.594	     1.007
01/10/2014	11:06:13.1	     0.594	     1.005
01/10/2014	11:06:13.6	     0.594	     1.003
01/10/2014	11:06:14.1	     0.594	     1.006
01/10/2014	11:06:14.6	     0.594	     1.003
01/10/2014	11:06:15.1	     0.594	     1.002
01/10/2014	11:06:15.6	     0.594	     1.002
01/10/2014	11:06:16.1	     0.594	     1.010
01/10/2014	11:06:16.6	     0.594	     1.005
01/10/2014	11:06:17.1	     0.594	     1.005
01/10/2014	11:06:17.6	     0.594	     1.008
01/10/2014	11:06:18.1	     0.594	     1.007
01/10/2014	11:06:18.6	     0.594	     1.014
01/10/2014	11:06:19.1	     0.594	     1.014
01/10/2014	11:06:19.6	     0.594	     1.016
01/10/2014	11:06:20.1	     0.594	     1.019
01/10/2014	11:06:20.6	     0.594	     1.018
01/10/2014	11:06:21.1	     0.594	     1.013
01/10/2014	11:06:21.6	     0.594	     1.020
01/10/2014	11:06:22.1	     0.594	     1.020
01/10/2014	11:06:22.6	     0.594	     1.013
01/10/2014	11:06:23.1	     0.594	     1.017
01/10/2014	11:06:23.6	     0.594	     1.022
01/10/2014	11:06:24.1	     0.594	     1.018
01/10/2014	11:06:24.6	     0.594	     1.022
01/10/2014	11:06:25.1	     0.594	     1.022
01/10/2014	11:06:25.6	     0.594	     1.023
01/10/2014	11:06:26.1	     0.594	     1.025
01/10/2014	11:06:26.6	     0.594	     1.022
01/10/2014	11:06:27.1	     0.594	     1.025
01/10/2014	11:06:27.6	     0.594	     1.028
01/10/2014	11:06:28.1	     0.594	     1.029
01/10/2014	11:06:28.6	     0.594	     1.026
01/10/2014	11:06:29.1	     0.594	     1.025
01/10/2014	11:06:29.6	     0.594	     1.024
01/10/2014	11:06:30.1	     0.594	     1.018
01/10/2014	11:06:30.6	     0.594	     1.020
01/10/2014	11:06:31.1	     0.594	     1.022
01/10/2014	11:06:31.6	     0.594	     1.022
01/10/2014	11:06:32.1	     0.594	     1.023
01/10/2014	11:06:32.6	     0.594	     1.026
01/10/2014	11:06:33.1	     0.594	     1.026
01/10/2014	11:06:33.6	     0.594	     1.026
01/10/2014	11:06:34.1	     0.594	     1.025
01/10/2014	11:06:34.6	     0.594	     1.025
01/10/2014	11:06:35.1	     0.594	     1.025
01/10/2014	11:06:35.6	     0.594	     1.023
01/10/2014	11:06:36.1	     0.594	     1.025
01/10/2014	11:06:36.6	     0.594	     1.025
01/10/2014	11:06:37.1	     0.595	     1.025
01/10/2014	11:06:37.6	     0.595	     1.026
01/10/2014	11:06:38.1	     0.595	     1.025
01/10/2014	11:06:38.6	     0.595	     1.025
01/10/2014	11:06:39.1	     0.595	     1.025
01/10/2014	11:06:39.6	     0.595	     1.026
01/10/2014	11:06:40.1	     0.595	     1.027
01/10/2014	11:06:40.6	     0.595	     1.027
01/10/2014	11:06:41.1	     0.595	     1.027
01/10/2014	11:06:41.6	     0.595	     1.027
01/10/2014	11:06:42.1	     0.595	     1.026
01/10/2014	11:06:42.6	     0.595	     1.027
01/10/2014	11:06:43.1	     0.595	     1.027
01/10/2014	11:06:43.6	     0.595	     1.027
01/10/2014	11:06:44.1	     0.595	     1.028
01/10/2014	11:06:44.6	     0.595	     1.027
01/10/2014	11:06:45.1	     0.595	     1.027
01/10/2014	11:06:45.6	     0.595	     1.028
01/10/2014	11:06:46.1	     0.595	     1.028
01/10/2014	11:06:46.6	     0.595	     1.028
01/10/2014	11:06:47.1	     0.595	     1.028
01/10/2014	11:06:47.6	     0.595	     1.028
01/10/2014	11:06:48.1	     0.595	     1.028
01/10/2014	11:06:48.6	     0.595	     1.028
01/10/2014	11:06:49.1	     0.595	     1.028
01/10/2014	11:06:49.6	     0.595	     1.028
