VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	13:53:38	01/10/2014

USER	

START COMMENT

END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/10/2014	13:53:42.7	     0.613	     1.109
01/10/2014	13:53:43.2	     0.613	     1.115
01/10/2014	13:53:43.7	     0.613	     1.116
01/10/2014	13:53:44.2	     0.613	     1.115
01/10/2014	13:53:44.7	     0.613	     1.115
01/10/2014	13:53:45.2	     0.612	     1.115
01/10/2014	13:53:45.7	     0.612	     1.114
01/10/2014	13:53:46.2	     0.612	     1.114
01/10/2014	13:53:46.7	     0.612	     1.114
01/10/2014	13:53:47.2	     0.612	     1.114
01/10/2014	13:53:47.7	     0.612	     1.113
01/10/2014	13:53:48.2	     0.612	     1.113
01/10/2014	13:53:48.7	     0.612	     1.113
01/10/2014	13:53:49.2	     0.612	     1.112
01/10/2014	13:53:49.7	     0.613	     1.112
01/10/2014	13:53:50.2	     0.613	     1.112
01/10/2014	13:53:50.7	     0.613	     1.112
01/10/2014	13:53:51.2	     0.613	     1.112
01/10/2014	13:53:51.7	     0.613	     1.111
01/10/2014	13:53:52.2	     0.613	     1.097
01/10/2014	13:53:52.7	     0.613	     0.894
01/10/2014	13:53:53.2	     0.613	     0.778
01/10/2014	13:53:53.7	     0.613	     0.790
01/10/2014	13:53:54.2	     0.613	     0.924
01/10/2014	13:53:54.7	     0.613	     0.971
01/10/2014	13:53:55.2	     0.613	     0.944
01/10/2014	13:53:55.7	     0.613	     0.956
01/10/2014	13:53:56.2	     0.613	     0.964
01/10/2014	13:53:56.7	     0.612	     0.970
01/10/2014	13:53:57.2	     0.612	     0.965
01/10/2014	13:53:57.7	     0.612	     0.955
01/10/2014	13:53:58.2	     0.612	     0.957
01/10/2014	13:53:58.7	     0.612	     0.987
01/10/2014	13:53:59.2	     0.612	     0.954
01/10/2014	13:53:59.7	     0.612	     0.949
01/10/2014	13:54:00.2	     0.612	     0.956
01/10/2014	13:54:00.7	     0.612	     0.952
01/10/2014	13:54:01.2	     0.612	     0.945
01/10/2014	13:54:01.7	     0.612	     0.943
01/10/2014	13:54:02.2	     0.612	     0.932
01/10/2014	13:54:02.7	     0.612	     0.951
01/10/2014	13:54:03.2	     0.612	     0.953
01/10/2014	13:54:03.7	     0.612	     0.951
01/10/2014	13:54:04.2	     0.612	     0.915
01/10/2014	13:54:04.7	     0.612	     0.915
01/10/2014	13:54:05.2	     0.611	     0.919
01/10/2014	13:54:05.7	     0.611	     0.920
01/10/2014	13:54:06.2	     0.611	     0.933
01/10/2014	13:54:06.7	     0.611	     0.940
01/10/2014	13:54:07.2	     0.611	     0.924
01/10/2014	13:54:07.7	     0.611	     0.941
01/10/2014	13:54:08.2	     0.611	     0.951
01/10/2014	13:54:08.7	     0.611	     0.967
01/10/2014	13:54:09.2	     0.611	     0.946
01/10/2014	13:54:09.7	     0.611	     0.931
01/10/2014	13:54:10.2	     0.611	     0.917
01/10/2014	13:54:10.7	     0.611	     0.912
01/10/2014	13:54:11.2	     0.611	     0.920
01/10/2014	13:54:11.7	     0.610	     0.927
01/10/2014	13:54:12.2	     0.609	     0.909
01/10/2014	13:54:12.7	     0.609	     0.922
01/10/2014	13:54:13.2	     0.609	     0.935
01/10/2014	13:54:13.7	     0.609	     0.947
01/10/2014	13:54:14.2	     0.609	     0.915
01/10/2014	13:54:14.7	     0.609	     0.930
01/10/2014	13:54:15.2	     0.609	     0.925
01/10/2014	13:54:15.7	     0.609	     0.906
01/10/2014	13:54:16.2	     0.609	     0.940
01/10/2014	13:54:16.7	     0.609	     0.948
01/10/2014	13:54:17.2	     0.609	     0.930
01/10/2014	13:54:17.7	     0.608	     0.955
01/10/2014	13:54:18.2	     0.608	     0.930
01/10/2014	13:54:18.7	     0.608	     0.889
01/10/2014	13:54:19.2	     0.608	     0.878
01/10/2014	13:54:19.7	     0.608	     0.907
01/10/2014	13:54:20.2	     0.608	     0.918
01/10/2014	13:54:20.7	     0.608	     0.934
01/10/2014	13:54:21.2	     0.608	     0.930
01/10/2014	13:54:21.7	     0.607	     0.935
01/10/2014	13:54:22.2	     0.607	     0.953
01/10/2014	13:54:22.7	     0.607	     0.953
01/10/2014	13:54:23.2	     0.607	     0.958
01/10/2014	13:54:23.7	     0.607	     0.955
01/10/2014	13:54:24.2	     0.607	     0.957
01/10/2014	13:54:24.7	     0.607	     0.987
01/10/2014	13:54:25.2	     0.607	     0.966
01/10/2014	13:54:25.7	     0.606	     0.953
01/10/2014	13:54:26.2	     0.606	     0.948
01/10/2014	13:54:26.7	     0.606	     0.936
01/10/2014	13:54:27.2	     0.606	     0.930
01/10/2014	13:54:27.7	     0.606	     0.942
01/10/2014	13:54:28.2	     0.606	     0.935
01/10/2014	13:54:28.7	     0.606	     0.949
01/10/2014	13:54:29.2	     0.606	     0.943
01/10/2014	13:54:29.7	     0.606	     0.932
01/10/2014	13:54:30.2	     0.606	     0.932
01/10/2014	13:54:30.7	     0.606	     0.960
01/10/2014	13:54:31.2	     0.606	     0.992
01/10/2014	13:54:31.7	     0.606	     0.974
01/10/2014	13:54:32.2	     0.606	     0.970
01/10/2014	13:54:32.7	     0.606	     0.965
01/10/2014	13:54:33.2	     0.606	     0.963
01/10/2014	13:54:33.7	     0.606	     0.967
01/10/2014	13:54:34.2	     0.606	     0.971
01/10/2014	13:54:34.7	     0.606	     0.960
01/10/2014	13:54:35.2	     0.606	     0.974
01/10/2014	13:54:35.7	     0.606	     0.958
01/10/2014	13:54:36.2	     0.606	     0.957
01/10/2014	13:54:36.7	     0.606	     0.954
01/10/2014	13:54:37.2	     0.606	     0.960
01/10/2014	13:54:37.7	     0.606	     0.960
01/10/2014	13:54:38.2	     0.607	     0.965
01/10/2014	13:54:38.7	     0.607	     0.974
01/10/2014	13:54:39.2	     0.607	     0.966
01/10/2014	13:54:39.7	     0.607	     0.960
01/10/2014	13:54:40.2	     0.607	     0.961
01/10/2014	13:54:40.7	     0.607	     0.967
01/10/2014	13:54:41.2	     0.607	     0.954
01/10/2014	13:54:41.7	     0.607	     0.959
01/10/2014	13:54:42.2	     0.607	     0.985
01/10/2014	13:54:42.7	     0.607	     0.969
01/10/2014	13:54:43.2	     0.607	     0.971
01/10/2014	13:54:43.7	     0.606	     0.970
01/10/2014	13:54:44.2	     0.606	     0.970
01/10/2014	13:54:44.7	     0.606	     0.967
01/10/2014	13:54:45.2	     0.606	     0.964
01/10/2014	13:54:45.7	     0.606	     0.978
01/10/2014	13:54:46.2	     0.606	     0.968
01/10/2014	13:54:46.7	     0.607	     0.966
01/10/2014	13:54:47.2	     0.607	     0.970
01/10/2014	13:54:47.7	     0.607	     0.976
01/10/2014	13:54:48.2	     0.607	     0.965
01/10/2014	13:54:48.7	     0.607	     0.973
01/10/2014	13:54:49.2	     0.607	     0.971
01/10/2014	13:54:49.7	     0.607	     0.974
01/10/2014	13:54:50.2	     0.607	     0.976
01/10/2014	13:54:50.7	     0.607	     0.977
01/10/2014	13:54:51.2	     0.607	     0.974
01/10/2014	13:54:51.7	     0.607	     0.977
01/10/2014	13:54:52.2	     0.607	     0.980
01/10/2014	13:54:52.7	     0.607	     0.983
01/10/2014	13:54:53.2	     0.607	     0.973
01/10/2014	13:54:53.7	     0.607	     0.975
01/10/2014	13:54:54.2	     0.607	     0.979
01/10/2014	13:54:54.7	     0.607	     0.980
01/10/2014	13:54:55.2	     0.607	     0.980
01/10/2014	13:54:55.7	     0.607	     0.981
01/10/2014	13:54:56.2	     0.607	     0.981
01/10/2014	13:54:56.7	     0.607	     0.985
01/10/2014	13:54:57.2	     0.607	     0.984
01/10/2014	13:54:57.7	     0.607	     0.989
01/10/2014	13:54:58.2	     0.607	     0.984
01/10/2014	13:54:58.7	     0.607	     0.988
01/10/2014	13:54:59.2	     0.607	     0.989
01/10/2014	13:54:59.7	     0.607	     0.987
01/10/2014	13:55:00.2	     0.607	     0.988
01/10/2014	13:55:00.7	     0.607	     0.992
01/10/2014	13:55:01.2	     0.607	     0.996
01/10/2014	13:55:01.7	     0.607	     0.995
01/10/2014	13:55:02.2	     0.607	     0.995
01/10/2014	13:55:02.7	     0.607	     0.995
01/10/2014	13:55:03.2	     0.607	     0.997
01/10/2014	13:55:03.7	     0.607	     0.997
01/10/2014	13:55:04.2	     0.607	     1.002
01/10/2014	13:55:04.7	     0.607	     1.001
01/10/2014	13:55:05.2	     0.607	     1.006
01/10/2014	13:55:05.7	     0.607	     1.005
01/10/2014	13:55:06.2	     0.607	     1.007
01/10/2014	13:55:06.7	     0.607	     1.006
01/10/2014	13:55:07.2	     0.607	     1.004
01/10/2014	13:55:07.7	     0.607	     1.002
01/10/2014	13:55:08.2	     0.607	     1.008
01/10/2014	13:55:08.7	     0.607	     1.009
01/10/2014	13:55:09.2	     0.607	     1.006
01/10/2014	13:55:09.7	     0.607	     1.006
01/10/2014	13:55:10.2	     0.607	     1.005
01/10/2014	13:55:10.7	     0.607	     1.008
01/10/2014	13:55:11.2	     0.607	     1.007
01/10/2014	13:55:11.7	     0.607	     1.007
01/10/2014	13:55:12.2	     0.607	     1.008
01/10/2014	13:55:12.7	     0.607	     1.008
01/10/2014	13:55:13.2	     0.607	     1.010
01/10/2014	13:55:13.7	     0.607	     1.013
01/10/2014	13:55:14.2	     0.607	     1.011
01/10/2014	13:55:14.7	     0.607	     1.015
01/10/2014	13:55:15.2	     0.607	     1.014
01/10/2014	13:55:15.7	     0.607	     1.015
01/10/2014	13:55:16.2	     0.607	     1.020
01/10/2014	13:55:16.7	     0.607	     1.020
01/10/2014	13:55:17.2	     0.607	     1.019
01/10/2014	13:55:17.7	     0.607	     1.017
01/10/2014	13:55:18.2	     0.607	     1.015
01/10/2014	13:55:18.7	     0.607	     1.013
01/10/2014	13:55:19.2	     0.607	     1.010
01/10/2014	13:55:19.7	     0.607	     1.011
01/10/2014	13:55:20.2	     0.607	     1.013
01/10/2014	13:55:20.7	     0.607	     1.015
01/10/2014	13:55:21.2	     0.607	     1.015
01/10/2014	13:55:21.7	     0.607	     1.013
01/10/2014	13:55:22.2	     0.607	     1.014
01/10/2014	13:55:22.7	     0.607	     1.014
01/10/2014	13:55:23.2	     0.607	     1.016
01/10/2014	13:55:23.7	     0.607	     1.017
01/10/2014	13:55:24.2	     0.607	     1.019
01/10/2014	13:55:24.7	     0.607	     1.017
01/10/2014	13:55:25.2	     0.607	     1.016
01/10/2014	13:55:25.7	     0.607	     1.015
01/10/2014	13:55:26.2	     0.607	     1.016
01/10/2014	13:55:26.7	     0.608	     1.019
01/10/2014	13:55:27.2	     0.608	     1.022
01/10/2014	13:55:27.7	     0.608	     1.022
01/10/2014	13:55:28.2	     0.608	     1.023
01/10/2014	13:55:28.7	     0.608	     1.023
01/10/2014	13:55:29.2	     0.608	     1.023
01/10/2014	13:55:29.7	     0.608	     1.024
01/10/2014	13:55:30.2	     0.608	     1.024
01/10/2014	13:55:30.7	     0.608	     1.023
01/10/2014	13:55:31.2	     0.608	     1.021
01/10/2014	13:55:31.7	     0.608	     1.021
01/10/2014	13:55:32.2	     0.607	     1.022
01/10/2014	13:55:32.7	     0.607	     1.023
01/10/2014	13:55:33.2	     0.607	     1.024
01/10/2014	13:55:33.7	     0.607	     1.023
01/10/2014	13:55:34.2	     0.607	     1.023
01/10/2014	13:55:34.7	     0.607	     1.023
01/10/2014	13:55:35.2	     0.607	     1.023
01/10/2014	13:55:35.7	     0.607	     1.023
01/10/2014	13:55:36.2	     0.607	     1.023
01/10/2014	13:55:36.7	     0.607	     1.024
01/10/2014	13:55:37.2	     0.607	     1.025
