VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	12:39:08	01/10/2014

USER	

START COMMENT

END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/10/2014	12:39:17.5	     0.615	     1.113
01/10/2014	12:39:18.0	     0.615	     1.120
01/10/2014	12:39:18.5	     0.614	     1.122
01/10/2014	12:39:19.0	     0.614	     1.120
01/10/2014	12:39:19.5	     0.614	     1.119
01/10/2014	12:39:20.0	     0.614	     1.118
01/10/2014	12:39:20.5	     0.614	     1.119
01/10/2014	12:39:21.0	     0.614	     1.118
01/10/2014	12:39:21.5	     0.614	     1.119
01/10/2014	12:39:22.0	     0.614	     1.117
01/10/2014	12:39:22.5	     0.614	     1.117
01/10/2014	12:39:23.0	     0.614	     1.116
01/10/2014	12:39:23.5	     0.614	     1.116
01/10/2014	12:39:24.0	     0.614	     1.116
01/10/2014	12:39:24.5	     0.614	     1.117
01/10/2014	12:39:25.0	     0.614	     1.116
01/10/2014	12:39:25.5	     0.614	     1.116
01/10/2014	12:39:26.0	     0.614	     1.115
01/10/2014	12:39:26.5	     0.614	     1.115
01/10/2014	12:39:27.0	     0.614	     1.115
01/10/2014	12:39:27.5	     0.614	     1.113
01/10/2014	12:39:28.0	     0.614	     0.904
01/10/2014	12:39:28.5	     0.613	     0.704
01/10/2014	12:39:29.0	     0.613	     0.621
01/10/2014	12:39:29.5	     0.613	     0.692
01/10/2014	12:39:30.0	     0.613	     0.799
01/10/2014	12:39:30.5	     0.613	     0.875
01/10/2014	12:39:31.0	     0.613	     0.909
01/10/2014	12:39:31.5	     0.613	     0.918
01/10/2014	12:39:32.0	     0.613	     0.936
01/10/2014	12:39:32.5	     0.613	     0.942
01/10/2014	12:39:33.0	     0.613	     0.937
01/10/2014	12:39:33.5	     0.613	     0.892
01/10/2014	12:39:34.0	     0.613	     0.881
01/10/2014	12:39:34.5	     0.613	     0.876
01/10/2014	12:39:35.0	     0.612	     0.885
01/10/2014	12:39:35.5	     0.612	     0.900
01/10/2014	12:39:36.0	     0.612	     0.932
01/10/2014	12:39:36.5	     0.612	     0.918
01/10/2014	12:39:37.0	     0.612	     0.939
01/10/2014	12:39:37.5	     0.612	     0.907
01/10/2014	12:39:38.0	     0.612	     0.887
01/10/2014	12:39:38.5	     0.612	     0.909
01/10/2014	12:39:39.0	     0.612	     0.919
01/10/2014	12:39:39.5	     0.612	     0.889
01/10/2014	12:39:40.0	     0.612	     0.899
01/10/2014	12:39:40.5	     0.612	     0.903
01/10/2014	12:39:41.0	     0.612	     0.915
01/10/2014	12:39:41.5	     0.611	     0.929
01/10/2014	12:39:42.0	     0.611	     0.937
01/10/2014	12:39:42.5	     0.611	     0.941
01/10/2014	12:39:43.0	     0.611	     0.931
01/10/2014	12:39:43.5	     0.611	     0.914
01/10/2014	12:39:44.0	     0.611	     0.933
01/10/2014	12:39:44.5	     0.611	     0.926
01/10/2014	12:39:45.0	     0.611	     0.905
01/10/2014	12:39:45.5	     0.611	     0.912
01/10/2014	12:39:46.0	     0.611	     0.921
01/10/2014	12:39:46.5	     0.611	     0.912
